U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss
3,16,Linear Elfouhaily,0.0139573943877787,0.00872979325391735,0.0226871876416961,0.790860352685115,0.00856164273632837,0.0141255449053677
3,16,MSS-Constrained Modified Lie,0.0120390363376768,0.00963145321216281,0.0216704895498396,0.894437598682608,0.0080827935786027,0.0135876959712369
3,17,Linear Elfouhaily,0.014485496400538,0.00921164625213372,0.0236971426526718,0.797447194685529,0.00838668464080168,0.0153104580118701
3,17,MSS-Constrained Modified Lie,0.0121048852637522,0.00970848894530884,0.0218133742090611,0.895561637069523,0.00761913128971597,0.0141942429193451
3,18,Linear Elfouhaily,0.0138641574964979,0.00877121772767604,0.0226353752241739,0.795395636531352,0.00847671680787469,0.0141586584162992
3,18,MSS-Constrained Modified Lie,0.0120273645943132,0.00963782550851284,0.021665190102826,0.895167469457171,0.0080099304951639,0.0136552596076621
3,19,Linear Elfouhaily,0.0137918538809738,0.00911961479382199,0.0229114686747958,0.813161715747042,0.00857782551076616,0.0143336431640296
3,19,MSS-Constrained Modified Lie,0.0120158752227384,0.00969250107782935,0.0217083763005678,0.898132111092093,0.00801624036586815,0.0136921359346996
3,20,Linear Elfouhaily,0.0144065653530994,0.00911175827896651,0.0235183236320659,0.795281478507614,0.00870721326196965,0.0148111103700963
3,20,MSS-Constrained Modified Lie,0.0120959116065361,0.00969276611492946,0.0217886777214656,0.895168032156386,0.00795642372662537,0.0138322539948402
4,1,Linear Elfouhaily,0.0170492545238631,0.0112541402501133,0.0283033947739764,0.81246276109507,0.00869672967794457,0.0196066650960318
4,1,MSS-Constrained Modified Lie,0.0144354721517835,0.0114433020664515,0.025878774218235,0.8903488137638,0.00788544357464513,0.0179933306435899
4,2,Linear Elfouhaily,0.0174497674779784,0.0113382164903125,0.0287879839682909,0.806078894890965,0.00873292310415036,0.0200550608641405
4,2,MSS-Constrained Modified Lie,0.0144850420774425,0.0114547449949059,0.0259397870723484,0.889268342919655,0.00778760753324465,0.0181521795391037
4,3,Linear Elfouhaily,0.0163354008484572,0.0110799321514796,0.0274153329999368,0.8235759435943,0.00879191195735911,0.0186234210425777
4,3,MSS-Constrained Modified Lie,0.0143438895890515,0.0114157806226924,0.0257596702117439,0.892111916104574,0.00819199375636415,0.0175676764553797
4,4,Linear Elfouhaily,0.0168526290871173,0.010881840521338,0.0277344696084553,0.803558218399078,0.0088491338303285,0.0188853357781268
4,4,MSS-Constrained Modified Lie,0.0144116754782055,0.0113849784104359,0.0257966538886414,0.888809869889774,0.00814080499093123,0.0176558488977102
4,5,Linear Elfouhaily,0.0168861841514319,0.0114199226994235,0.0283061068508554,0.822367278232425,0.00866878027705527,0.0196373265738001
4,5,MSS-Constrained Modified Lie,0.0144139700508006,0.0114674789027459,0.0258814489535464,0.891953403955041,0.00786360950987731,0.0180178394436691
4,6,Linear Elfouhaily,0.0166918942412398,0.0112471600411609,0.0279390542824007,0.820859115452462,0.00856173424699809,0.0193773200354026
4,6,MSS-Constrained Modified Lie,0.0143907709660207,0.0114414645818452,0.0258322355478658,0.891658963283651,0.00785493107112151,0.0179773044767443
4,7,Linear Elfouhaily,0.016579924090163,0.0111807180877073,0.0277606421778703,0.821189863050673,0.00883246976811217,0.0189281724097581
4,7,MSS-Constrained Modified Lie,0.0143760854842874,0.0114318500705507,0.0258079355548381,0.891739361197272,0.00813896443893915,0.0176689711158989
4,8,Linear Elfouhaily,0.017116799530177,0.0111569476405233,0.0282737471707004,0.807349192663071,0.00888429201424444,0.0193894551564559
4,8,MSS-Constrained Modified Lie,0.0144442280492634,0.0114275778622464,0.0258718059115098,0.88946717660399,0.00804349649824657,0.0178283094132632
4,9,Linear Elfouhaily,0.0168220422776651,0.0108391452162903,0.0276611874939554,0.802709046171788,0.00888242840979844,0.018778759084157
4,9,MSS-Constrained Modified Lie,0.0144035076902801,0.0113780640974663,0.0257815717877464,0.888791829548358,0.00817704442827124,0.0176045273594752
4,10,Linear Elfouhaily,0.0167061851086552,0.0111510098724752,0.0278571949811304,0.81699322584379,0.00888174391484606,0.0189754510662843
